NAPS ID	Province	City	Year	Year_lag	Latitude	Longitude	Elevation	Pollutant	variable	value	Year_beeyear_lag	seasons	mean_spring	mean_summer	mean_fall	mean_winter	test	mean_value
100110	BC	Metro Van - Burnaby	2015	2016	49.279212951660156	-122.9707108	104	PM2.5	January	5	2015	Winter	5.016949152542373	6.428571428571429	6.943820224719101	7.448863636363637	2015_BC_PM2.5	6.458923512747876
100110	BC	Metro Van - Burnaby	2015	2016	49.279212951660156	-122.9707108	104	SO2	January	0.3	2015	Winter	1.285925925925926	1.773076923076923	1.3480916030534351	1.23	2015_BC_SO2	1.4079847908745247
040601	Blissville - Sunbury County	Blissville - Sunbury County	2014	2015	45.60542678833008	-66.55950165	9	O3	March	30	2015	Spring	30	NA	NA	NA	2015_Blissville - Sunbury County_O3	30
093301	Cremona	Cremona	2014	2015	51.54370117	-114.3610001	1045	SO2	March	0.6	2015	Spring	0.4	0.23333333333333334	0.43333333333333335	0.4	2015_Cremona_SO2	0.36
040801	Dow Settlement	Dow Settlement	2014	2015	45.950069427490234	-67.47773743	153	O3	March	37	2015	Spring	33.666666666666664	20	NA	NA	2015_Dow Settlement_O3	30.25
040801	Dow Settlement	Dow Settlement	2014	2015	45.950069427490234	-67.47773743	153	PM2.5	March	3	2015	Spring	3.6666666666666665	6	NA	NA	2015_Dow Settlement_PM2.5	4.25
092501	Jarvie	Jarvie	2014	2015	54.45777893066406	-114.0306015	907	PM2.5	March	14	2015	Spring	16	31.666666666666668	16.5	9	2015_Jarvie_PM2.5	21.125
070118	MB	Winnipeg	2015	2016	49.932071685791016	-97.11316681	227	CO	January	0.19	2015	Winter	0.195	0.14	0.16999999999999998	0.208	2015_MB_CO	0.18388888888888888
070118	MB	Winnipeg	2015	2016	49.932071685791016	-97.11316681	227	NO	January	2	2015	Winter	2.6666666666666665	1.5	2.888888888888889	4	2015_MB_NO	2.8
070118	MB	Winnipeg	2015	2016	49.932071685791016	-97.11316681	227	NO2	January	6	2015	Winter	5.111111111111111	2.111111111111111	4.666666666666667	7.888888888888889	2015_MB_NO2	4.944444444444445
070118	MB	Winnipeg	2015	2016	49.932071685791016	-97.11316681	227	NOX	January	7	2015	Winter	7.666666666666667	3.5555555555555554	7.444444444444445	11.777777777777779	2015_MB_NOX	7.611111111111111
070118	MB	Winnipeg	2015	2016	49.932071685791016	-97.11316681	227	O3	January	NA	2015	Winter	31.8	21.636363636363637	20.533333333333335	24.583333333333332	2015_MB_O3	24.867924528301888
070119	MB	Winnipeg	2015	2016	49.89799118041992	-97.14653015	229	PM10	January	11	2015	Winter	8.466666666666667	10.533333333333333	12.88888888888889	6.75	2015_MB_PM10	9.680851063829786
